gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,152,1,3.7886,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,6.64,845.45
gfx950,256,16,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,3.6854,auto,0.0,13.66,884.68
gfx950,256,32,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,114,1,4.0263,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0012,25.0,838.26
gfx950,256,64,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,673,1,4.1149,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,48.93,875.96
gfx950,256,128,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1337,1,4.5885,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,87.75,885.53
gfx950,256,256,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2427,1,5.4879,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,146.74,907.59
gfx950,256,512,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2017,1,6.8583,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,234.84,993.79
gfx950,256,1024,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,328,1,9.1527,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,351.94,1145.65
gfx950,256,1,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,39,7,13.83,flydsl_hgemm_abf16_wbf16_bf16_t16x128x128x4_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0188,4.64,4645.59
gfx950,256,2,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,442,7,13.8924,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks7_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0243,9.25,4626.41
gfx950,256,4,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,25,7,13.982,flydsl_hgemm_abf16_wbf16_bf16_t16x128x128x3_ks7_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0263,18.37,4600.09
gfx950,256,8,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,41,7,14.1873,flydsl_hgemm_abf16_wbf16_bf16_t16x128x128x4_ks7_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0184,36.22,4540.09
gfx950,256,16,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,774,4,14.7771,flydsl_hgemm_abf16_wbf16_bf16_t16x96x64x8_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0136,69.54,4371.49
gfx950,256,32,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2138,4,16.0124,flydsl_hgemm_abf16_wbf16_bf16_t32x96x128x3_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0134,128.35,4057.53
gfx950,256,48,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2200,4,17.7356,flydsl_hgemm_abf16_wbf16_bf16_t48x96x128x3_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.014,173.82,3684.31
gfx950,256,64,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4104,4,19.2784,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x6_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0137,213.21,3408.8
gfx950,256,80,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3909,4,21.308,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0138,241.13,3101.6
gfx950,256,96,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4249,4,22.8127,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0139,270.27,2913.36
gfx950,256,112,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,760,4,25.5402,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0138,281.64,2616.83
gfx950,256,128,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,760,4,26.6643,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0138,308.31,2520.49
gfx950,256,160,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2859,2,30.9218,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x5_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0061,332.32,2197.56
gfx950,256,192,4480,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3106,2,33.8602,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x5_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0061,364.18,2028.87
gfx950,256,1,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,251,1,16.363,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0053,5.27,5272.37
gfx950,256,2,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,207,1,16.3068,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,10.58,5292.15
gfx950,256,4,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,226,1,16.1489,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x7_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,21.36,5347.17
gfx950,256,8,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,256,1,16.6913,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0054,41.34,5179.72
gfx950,256,16,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,257,1,17.7605,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,77.7,4879.78
