shape,B,op,wdtype,act,flydsl_us,ck_us,ratio,fly_tbs,ck_tbs,fly_peak,fly_spr,ck_spr,cos,note
qwen3next,2,gate_up,fp8,bf16,9.84417,12.7384,0.772795,4.2607,3.29265,53.2587,5.75801,0.199397,1,noisy (>5% spread)
qwen3next,4,down,fp4,-,8.38477,13.6263,0.615337,2.65747,1.63524,33.2183,1.05721,0.200348,1,
qwen3next,4,down,fp8,-,10.7613,17.7337,0.606825,3.8976,2.36516,48.72,0.111499,0.255446,1,
qwen3next,4,gate_up,fp4,bf16,13.2059,17.0219,0.77582,3.37458,2.61807,42.1822,5.24051,0.185056,1,noisy (>5% spread)
qwen3next,4,gate_up,fp8,bf16,16.1635,20.0079,0.807857,5.18984,4.19265,64.873,4.27423,0.200921,1,
qwen3next,8,down,fp4,-,12.5754,16.1413,0.779082,3.54378,2.7609,44.2973,0.58612,0.10532,1,
qwen3next,8,down,fp8,-,18.7549,23.365,0.802692,4.47276,3.59025,55.9095,2.91829,0.127113,1,
qwen3next,8,gate_up,fp4,bf16,22.6951,29.6694,0.764932,3.92724,3.00407,49.0905,1.42212,0.042805,1,
qwen3next,8,gate_up,fp8,bf16,29.0067,32.8654,0.882591,5.78391,5.10483,72.2989,2.36925,0.186823,1,
qwen3next,32,down,fp4,-,37.2433,54.6628,0.681328,4.78631,3.26105,59.8288,0.365794,0.352159,1,
qwen3next,32,down,fp8,-,62.0467,73.1378,0.848354,5.40793,4.58784,67.5991,0.120033,0.0685008,1,
qwen3next,32,gate_up,fp4,bf16,73.3704,104.954,0.699073,4.85912,3.39688,60.739,3.56535,0.0648856,1,
qwen3next,32,gate_up,fp8,bf16,103.745,112.634,0.921076,6.46865,5.95812,80.8581,0.495084,0.0408401,1,
